RecordType,Survey,Country,Institute,Campaign,SurveyPeriod,Ship,Gear,GearDeployment,MeshSize,MeshType,CodendMesh,StationNumber,HaulID,ELHaulFlag,NationalHaulID,Day,Month,Year,Hour,Minute,StartLatitude,StartLongitude,HaulDurationMinutes,HaulDurationSeconds,Distance,WireAngle,WireLength,Netopening,NetopeningArea,FlowEfficiency,NetClogging,FlowmeterType,FlowmeterBrand,FlowIntRevs,FlowIntCalibr,FlowExtRevs,FlowExtCalibr,VolumeFiltInt,ELVolFlag,DepthUpper,DepthLower,DepthBottom,SurTemp,Temp20m,Temp50m,Temp100m,BotTemp,SurSal,Sal20m,BotSal,statrec,Notes
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_064,,,25,1,2020,23,20,58.083,4.469,31,0,3068,,,,3.1416,,,,HydroBios,9681,3,,,,,,100,118,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_065,,,26,1,2020,1,27,58.087,4.16,28,0,2606,,,,3.1416,,,,HydroBios,9561,3,,,,,,82,89,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_066,,,26,1,2020,4,50,58.078,3.814,33,0,3185,,,,3.1416,,,,HydroBios,11673,3,,,,,,85,91,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_067,,,26,1,2020,5,9,58.248,3.823,36,0,3820,,,,3.1416,,,,HydroBios,12810,3,,,,,,100,118,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_068,,,26,1,2020,16,30,58.586,3.165,35,2,3931,,,,3.1416,,,,HydroBios,12402,3,,,,,,100,120,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_069,,,26,1,2020,18,23,58.585,3.165,37,2,4042,,,,3.1416,,,,HydroBios,13592,3,,,,,,98,103,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_070,,,27,1,2020,2,52,58.412,2.162,27,0,2935,,,,3.1416,,,,HydroBios,9011,3,,,,,,82,87,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_071,,,27,1,2020,4,21,58.289,1.862,31,0,2500,,,,3.1416,,,,HydroBios,9097,3,,,,,,77,83,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_072,,,27,1,2020,5,51,58.246,2.165,27,0,2740,,,,3.1416,,,,HydroBios,9009,3,,,,,,73,78,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_073,,,28,1,2020,0,22,58.841,2.174,37,0,3400,,,,3.1416,,,,HydroBios,12429,3,,,,,,100,109,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_082,,,28,1,2020,0,23,60.082,3.18,34,0,3225,,,,3.1416,,,,HydroBios,10095,3,,,,,,100,260,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_074,,,28,1,2020,2,15,58.926,2.522,35,0,2895,,,,3.1416,,,,HydroBios,10220,3,,,,,,98,119,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_075,,,28,1,2020,3,35,59.084,2.585,38,0,3571,,,,3.1416,,,,HydroBios,11650,3,,,,,,100,129,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_076,,,28,1,2020,6,2,59.304,3.129,34,0,3809,,,,3.1416,,,,HydroBios,10000,3,,,,,,100,139,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_077,,,28,1,2020,16,28,59.75,2.825,37,14,3461,,,,3.1416,,,,HydroBios,11239,3,,,,,,100,116,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_078,,,28,1,2020,17,55,59.917,2.812,36,10,3399,,,,3.1416,,,,HydroBios,11204,3,,,,,,100,112,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_079,,,28,1,2020,19,28,59.918,3.17,35,34,3464,,,,3.1416,,,,HydroBios,11286,3,,,,,,100,154,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_080,,,28,1,2020,20,50,59.915,3.498,36,37,3704,,,,3.1416,,,,HydroBios,11435,3,,,,,,100,250,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_081,,,28,1,2020,22,19,60.081,3.52,36,0,3387,,,,3.1416,,,,HydroBios,8209,3,,,,,,100,200,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_083,,,29,1,2020,1,12,60.083,2.827,35,0,3412,,,,3.1416,,,,HydroBios,10397,3,,,,,,100,111,,,,,,,,,,
EH,MIK,DE,1570,2020,,26D4,MRN2,,,MonFilP,,,2020DE_084,,,29,1,2020,2,38,60.087,2.488,34,0,3452,,,,3.1416,,,,HydroBios,10511,3,,,,,,100,114,,,,,,,,,,
