Rectangle,long,lat,,
42F3,3.5,56.75,,
42F4,4.5,56.75,,
42F5,5.5,56.75,,
42F6,6.5,56.75,,
42F7,7.5,56.75,,
42F8,8.5,56.75,,
42G0,10.5,56.75,,
42G1,11.5,56.75,,
42G2,12.5,56.75,,
43E8,-1.5,57.25,,
43E9,-0.5,57.25,,
43F0,0.5,57.25,,
43F1,1.5,57.25,,
43F2,2.5,57.25,,
43F3,3.5,57.25,,
43F4,4.5,57.25,,
43F5,5.5,57.25,,
43F6,6.5,57.25,,
43F7,7.5,57.25,,
43F8,8.5,57.25,,
43F9,9.5,57.25,,
43G0,10.5,57.25,,
43G1,11.5,57.25,,
43G2,12.5,57.25,,
44E6,-3.5,57.75,,
44E7,-2.5,57.75,,
44E8,-1.5,57.75,,
44E9,-0.5,57.75,,
44F0,0.5,57.75,,
44F1,1.5,57.75,,
44F2,2.5,57.75,,
44F3,3.5,57.75,,
44F4,4.5,57.75,,
44F5,5.5,57.75,,
44F8,8.5,57.75,,
44F9,9.5,57.75,,
44G0,10.5,57.75,,
44G1,11.5,57.75,,
45E6,-3.5,58.25,,
45E7,-2.5,58.25,,
45E8,-1.5,58.25,,
45E9,-0.5,58.25,,
45F0,0.5,58.25,,
45F1,1.5,58.25,,
45F2,2.5,58.25,,
45F3,3.5,58.25,,
45F4,4.5,58.25,,
45F8,8.5,58.25,,
45F9,9.5,58.25,,
45G0,10.5,58.25,,
45G1,11.5,58.25,,
46E6,-3.5,58.75,,
46E7,-2.5,58.75,,
46E8,-1.5,58.75,,
46E9,-0.5,58.75,,
46F0,0.5,58.75,,
46F1,1.5,58.75,,
46F2,2.5,58.75,,
46F3,3.5,58.75,,
46F9,9.5,58.75,,
46G0,10.5,58.75,,
46G1,11.5,58.75,,
47E6,-3.5,59.25,,
47E7,-2.5,59.25,,
47E8,-1.5,59.25,,
47E9,-0.5,59.25,,
47F0,0.5,59.25,,
47F1,1.5,59.25,,
47F2,2.5,59.25,,
47F3,3.5,59.25,,
47G0,10.5,59.25,,
48E6,-3.5,59.75,,
48E7,-2.5,59.75,,
48E8,-1.5,59.75,,
48E9,-0.5,59.75,,
48F0,0.5,59.75,,
48F1,1.5,59.75,,
48F2,2.5,59.75,,
48F3,3.5,59.75,,
48F4,4.5,59.75,,
49E6,-3.5,60.25,,
49E7,-2.5,60.25,,
49E8,-1.5,60.25,,
49E9,-0.5,60.25,,
49F0,0.5,60.25,,
49F1,1.5,60.25,,
49F2,2.5,60.25,,
49F3,3.5,60.25,,
50E7,-2.5,60.75,,
50E8,-1.5,60.75,,
50E9,-0.5,60.75,,
50F0,0.5,60.75,,
50F1,1.5,60.75,,
50F2,2.5,60.75,,
50F3,3.5,60.75,,
51E8,-1.5,61.25,,
51E9,-0.5,61.25,,
51F0,0.5,61.25,,
51F1,1.5,61.25,,
51F2,2.5,61.25,,
52E9,-0.5,61.75,,
52F0,0.5,61.75,,
52F1,1.5,61.75,,
