HaulID,length,number,SubSamplingFactor
1992DK_049,27,4,1
1992DK_049,28,7,1
1992DK_049,29,5,1
1992DK_049,30,7,1
1992DK_049,31,5,1
1992DK_049,32,6,1
1992DK_049,33,5,1
1992DK_049,34,4,1
1992DK_049,36,3,1
1992DK_049,37,3,1
1992DK_050,20,1,1
1992DK_050,24,1,1
1992DK_050,28,1,1
1992DK_050,29,3,1
1992DK_050,30,1,1
1992DK_050,31,1,1
1992DK_050,32,2,1
1992DK_050,33,1,1
1992DK_050,34,1,1
1992DK_050,35,3,1
1992DK_050,36,3,1
1992DK_050,37,2,1
1992DK_050,39,1,1
1992DK_051,21,1,1
1992DK_051,23,1,1
1992DK_051,24,1,1
1992DK_051,25,1,1
1992DK_051,26,2,1
1992DK_051,27,1,1
1992DK_051,29,4,1
1992DK_051,30,5,1
1992DK_051,31,1,1
1992DK_051,33,3,1
1992DK_051,34,3,1
1992DK_051,35,8,1
1992DK_051,36,8,1
1992DK_051,37,3,1
1992DK_051,38,1,1
1992DK_052,20,1,1
1992DK_052,23,1,1
1992DK_052,24,1,1
1992DK_052,25,5,1
1992DK_052,26,5,1
1992DK_052,27,3,1
1992DK_052,28,4,1
1992DK_052,29,6,1
1992DK_052,30,5,1
1992DK_052,31,1,1
1992DK_052,33,3,1
1992DK_052,34,3,1
1992DK_052,35,7,1
1992DK_052,36,3,1
1992DK_052,37,4,1
1992DK_052,39,1,1
1992DK_053,22,2,1
1992DK_053,23,3,1
1992DK_053,24,1,1
1992DK_053,25,2,1
1992DK_053,26,8,1
1992DK_053,27,13,1
1992DK_053,28,6,1
1992DK_053,29,16,1
1992DK_053,30,7,1
1992DK_053,31,4,1
1992DK_053,32,5,1
1992DK_053,33,2,1
1992DK_053,34,7,1
1992DK_053,35,6,1
1992DK_053,36,2,1
1992DK_053,37,1,1
1992DK_054,21,1,1
1992DK_054,22,5,1
1992DK_054,23,2,1
1992DK_054,24,3,1
1992DK_054,25,4,1
1992DK_054,26,3,1
1992DK_054,27,7,1
1992DK_054,28,7,1
1992DK_054,29,14,1
1992DK_054,30,16,1
1992DK_054,31,24,1
1992DK_054,32,9,1
1992DK_054,33,11,1
1992DK_054,34,7,1
1992DK_054,35,3,1
1992DK_054,36,6,1
1992DK_054,39,1,1
1992DK_055,23,1,1
1992DK_055,24,4,1
1992DK_055,25,6,1
1992DK_055,26,2,1
1992DK_055,27,9,1
1992DK_055,28,15,1
1992DK_055,29,13,1
1992DK_055,30,13,1
1992DK_055,31,17,1
1992DK_055,32,17,1
1992DK_055,33,18,1
1992DK_055,34,5,1
1992DK_055,36,3,1
