"Rectangle","long","lat","X","X.1","Freq","year"
"43F0",0.5,57.25,NA,NA,0,1992
"43F1",1.5,57.25,NA,NA,1,1992
"43F2",2.5,57.25,NA,NA,4,1992
"43F3",3.5,57.25,NA,NA,1,1992
"43F4",4.5,57.25,NA,NA,2,1992
"43F5",5.5,57.25,NA,NA,2,1992
"43F6",6.5,57.25,NA,NA,2,1992
"43F7",7.5,57.25,NA,NA,1,1992
"43F8",8.5,57.25,NA,NA,1,1992
"43F9",9.5,57.25,NA,NA,0,1992
"43G0",10.5,57.25,NA,NA,1,1992
"43G1",11.5,57.25,NA,NA,8,1992
"43G2",12.5,57.25,NA,NA,1,1992
"44E6",-3.5,57.75,NA,NA,0,1992
"44E7",-2.5,57.75,NA,NA,2,1992
"44E8",-1.5,57.75,NA,NA,2,1992
"44E9",-0.5,57.75,NA,NA,0,1992
"44F0",0.5,57.75,NA,NA,0,1992
"44F1",1.5,57.75,NA,NA,0,1992
"44F2",2.5,57.75,NA,NA,4,1992
"44F3",3.5,57.75,NA,NA,3,1992
"44F4",4.5,57.75,NA,NA,2,1992
"44F5",5.5,57.75,NA,NA,1,1992
"44F8",8.5,57.75,NA,NA,2,1992
"44F9",9.5,57.75,NA,NA,5,1992
"44G0",10.5,57.75,NA,NA,5,1992
"44G1",11.5,57.75,NA,NA,13,1992
"45E6",-3.5,58.25,NA,NA,0,1992
"45E7",-2.5,58.25,NA,NA,0,1992
"45E8",-1.5,58.25,NA,NA,0,1992
"45E9",-0.5,58.25,NA,NA,1,1992
"45F0",0.5,58.25,NA,NA,3,1992
"45F1",1.5,58.25,NA,NA,3,1992
"45F2",2.5,58.25,NA,NA,0,1992
"45F3",3.5,58.25,NA,NA,0,1992
"45F4",4.5,58.25,NA,NA,1,1992
"45F8",8.5,58.25,NA,NA,1,1992
"45F9",9.5,58.25,NA,NA,3,1992
"45G0",10.5,58.25,NA,NA,5,1992
"45G1",11.5,58.25,NA,NA,0,1992
"46E6",-3.5,58.75,NA,NA,0,1992
"46E7",-2.5,58.75,NA,NA,2,1992
"46E8",-1.5,58.75,NA,NA,1,1992
"46E9",-0.5,58.75,NA,NA,0,1992
"46F0",0.5,58.75,NA,NA,0,1992
"46F1",1.5,58.75,NA,NA,0,1992
"46F2",2.5,58.75,NA,NA,3,1992
"46F3",3.5,58.75,NA,NA,0,1992
"46F9",9.5,58.75,NA,NA,0,1992
"46G0",10.5,58.75,NA,NA,1,1992
"46G1",11.5,58.75,NA,NA,0,1992
"47E6",-3.5,59.25,NA,NA,0,1992
"47E7",-2.5,59.25,NA,NA,1,1992
"47E8",-1.5,59.25,NA,NA,1,1992
"47E9",-0.5,59.25,NA,NA,0,1992
"47F0",0.5,59.25,NA,NA,2,1992
"47F1",1.5,59.25,NA,NA,2,1992
"47F2",2.5,59.25,NA,NA,2,1992
"47F3",3.5,59.25,NA,NA,2,1992
"47G0",10.5,59.25,NA,NA,0,1992
"48E6",-3.5,59.75,NA,NA,0,1992
"48E7",-2.5,59.75,NA,NA,0,1992
"48E8",-1.5,59.75,NA,NA,0,1992
"48E9",-0.5,59.75,NA,NA,0,1992
"48F0",0.5,59.75,NA,NA,1,1992
"48F1",1.5,59.75,NA,NA,2,1992
"48F2",2.5,59.75,NA,NA,2,1992
"48F3",3.5,59.75,NA,NA,2,1992
"48F4",4.5,59.75,NA,NA,0,1992
"49E6",-3.5,60.25,NA,NA,0,1992
"49E7",-2.5,60.25,NA,NA,0,1992
"49E8",-1.5,60.25,NA,NA,0,1992
"49E9",-0.5,60.25,NA,NA,0,1992
"49F0",0.5,60.25,NA,NA,2,1992
"49F1",1.5,60.25,NA,NA,2,1992
"49F2",2.5,60.25,NA,NA,2,1992
"49F3",3.5,60.25,NA,NA,2,1992
"50E7",-2.5,60.75,NA,NA,0,1992
"50E8",-1.5,60.75,NA,NA,0,1992
"50E9",-0.5,60.75,NA,NA,0,1992
"50F0",0.5,60.75,NA,NA,2,1992
"50F1",1.5,60.75,NA,NA,2,1992
"50F2",2.5,60.75,NA,NA,2,1992
"50F3",3.5,60.75,NA,NA,2,1992
"51E8",-1.5,61.25,NA,NA,0,1992
"51E9",-0.5,61.25,NA,NA,0,1992
"51F0",0.5,61.25,NA,NA,0,1992
"51F1",1.5,61.25,NA,NA,0,1992
"51F2",2.5,61.25,NA,NA,0,1992
"52E9",-0.5,61.75,NA,NA,0,1992
"52F0",0.5,61.75,NA,NA,0,1992
"52F1",1.5,61.75,NA,NA,0,1992
