"area","L.sqm","af","year"
"ce",0,33,1992
"ch",0,10,1992
"cw",0,28,1992
"ka",0,10,1992
"ne",0,11,1992
"nw",0,27,1992
"se",0,30,1992
"sw",0,12,1992
"ce",0,33,1993
"ch",0,10,1993
"cw",0,28,1993
"ka",0,10,1993
"ne",0,11,1993
"nw",0,27,1993
"se",0,30,1993
"sw",0,12,1993
"ce",0,33,1994
"ch",0,10,1994
"cw",0,28,1994
"ka",0,10,1994
"ne",0,11,1994
"nw",0,27,1994
"se",0,30,1994
"sw",0,12,1994
"ce",0,33,1995
"ch",0,10,1995
"cw",0,28,1995
"ka",0,10,1995
"ne",0,11,1995
"nw",0,27,1995
"se",0,30,1995
"sw",0,12,1995
"ce",0,33,1996
"ch",0,10,1996
"cw",0,28,1996
"ka",0,10,1996
"ne",0,11,1996
"nw",0,27,1996
"se",0,30,1996
"sw",0,12,1996
"ce",0,33,1997
"ch",0,10,1997
"cw",0,28,1997
"ka",0,10,1997
"ne",0,11,1997
"nw",0,27,1997
"se",0,30,1997
"sw",0,12,1997
"ce",0,33,1998
"ch",0,10,1998
"cw",0,28,1998
"ka",0,10,1998
"ne",0,11,1998
"nw",0,27,1998
"se",0,30,1998
"sw",0,12,1998
"ce",0,33,1999
"ch",0,10,1999
"cw",0,28,1999
"ka",0,10,1999
"ne",0,11,1999
"nw",0,27,1999
"se",0,30,1999
"sw",0,12,1999
"ce",0,33,2000
"ch",0,10,2000
"cw",0,28,2000
"ka",0,10,2000
"ne",0,11,2000
"nw",0,27,2000
"se",0,30,2000
"sw",0,12,2000
"ce",0,33,2001
"ch",0,10,2001
"cw",0,28,2001
"ka",0,10,2001
"ne",0,11,2001
"nw",0,27,2001
"se",0,30,2001
"sw",0,12,2001
"ce",0,33,2002
"cw",0,28,2002
"ka",0,10,2002
"ne",0,11,2002
"nw",0,27,2002
"se",0,30,2002
"sw",0,12,2002
"ce",0,33,2003
"ch",0,10,2003
"cw",0,28,2003
"ka",0,10,2003
"ne",0,11,2003
"nw",0,27,2003
"se",0,30,2003
"sw",0,12,2003
"ce",0,33,2004
"ch",0,10,2004
"cw",0,28,2004
"ka",0,10,2004
"ne",0,11,2004
"nw",0,27,2004
"se",0,30,2004
"sw",0,12,2004
"ce",0,33,2005
"ch",0,10,2005
"cw",0,28,2005
"ka",0,10,2005
"ne",0,11,2005
"nw",0,27,2005
"se",0,30,2005
"sw",0,12,2005
"ce",0,33,2006
"ch",0,10,2006
"cw",0,28,2006
"ka",0,10,2006
"ne",0,11,2006
"nw",0,27,2006
"se",0,30,2006
"sw",0,12,2006
"ce",0,33,2007
"ch",0,10,2007
"cw",0,28,2007
"ka",0,10,2007
"ne",0,11,2007
"nw",0,27,2007
"se",0,30,2007
"sw",0,12,2007
"ce",0,33,2008
"ch",0,10,2008
"cw",0,28,2008
"ka",0,10,2008
"ne",0,11,2008
"nw",0,27,2008
"se",0,30,2008
"sw",0,12,2008
"ce",0,33,2009
"ch",0,10,2009
"cw",0,28,2009
"ka",0,10,2009
"ne",0,11,2009
"nw",0,27,2009
"se",0,30,2009
"sw",0,12,2009
"ce",0,33,2010
"ch",0,10,2010
"cw",0,28,2010
"ka",0,10,2010
"ne",0,11,2010
"nw",0,27,2010
"se",0,30,2010
"sw",0,12,2010
"ce",0,33,2011
"ch",0,10,2011
"cw",0,28,2011
"ne",0,11,2011
"nw",0,27,2011
"se",0,30,2011
"sw",0,12,2011
"ce",0,33,2012
"ch",0,10,2012
"cw",0,28,2012
"ka",0,10,2012
"ne",0,11,2012
"nw",0,27,2012
"se",0,30,2012
"sw",0,12,2012
"ce",0,33,2013
"ch",0,10,2013
"cw",0,28,2013
"ka",0,10,2013
"ne",0,11,2013
"nw",0,27,2013
"se",0,30,2013
"sw",0,12,2013
"ce",0,33,2014
"ch",0,10,2014
"cw",0,28,2014
"ka",0,10,2014
"ne",0,11,2014
"nw",0,27,2014
"se",0,30,2014
"sw",0,12,2014
"ce",0,33,2015
"ch",0,10,2015
"cw",0,28,2015
"ka",0,10,2015
"ne",0,11,2015
"nw",0,27,2015
"se",0,30,2015
"sw",0,12,2015
"ce",0,33,2016
"ch",0,10,2016
"cw",0,28,2016
"ka",0,10,2016
"ne",0,11,2016
"nw",0,27,2016
"se",0,30,2016
"sw",0,12,2016
"ce",0,33,2017
"ch",0,10,2017
"cw",0,28,2017
"ka",0,10,2017
"ne",0,11,2017
"nw",0,27,2017
"se",0,30,2017
"sw",0,12,2017
"ce",0,33,2018
"ch",0,10,2018
"cw",0,28,2018
"ka",0,10,2018
"ne",0,11,2018
"nw",0,27,2018
"se",0,30,2018
"sw",0,12,2018
"ce",0,33,2019
"ch",0,10,2019
"cw",0,28,2019
"ka",0,10,2019
"ne",0,11,2019
"nw",0,27,2019
"se",0,30,2019
"sw",0,12,2019
"ce",0,33,2020
"ch",0,10,2020
"cw",0,28,2020
"ka",0,10,2020
"ne",0,11,2020
"nw",0,27,2020
"se",0,30,2020
"sw",0,12,2020
"ce",0,33,2021
"ch",0,10,2021
"cw",0,28,2021
"ka",0,10,2021
"ne",0,11,2021
"nw",0,27,2021
"se",0,30,2021
"sw",0,12,2021
"ce",0,33,2022
"ch",0,10,2022
"cw",0,28,2022
"ka",0,10,2022
"ne",0,11,2022
"nw",0,27,2022
"se",0,30,2022
"sw",0,12,2022
"ce",0,33,2023
"ch",0,10,2023
"cw",0,28,2023
"ka",0,10,2023
"ne",0,11,2023
"nw",0,27,2023
"se",0,30,2023
"sw",0,12,2023
"ce",0,33,2024
"ch",0,10,2024
"cw",0,28,2024
"ka",0,10,2024
"ne",0,11,2024
"nw",0,27,2024
"se",0,30,2024
"sw",0,12,2024
"ce",0,33,2025
"ch",0,10,2025
