"Rectangle","long","lat","X","X.1","suba","statrec","dummy","L.sqm","year"
"38F5",5.5,54.75,NA,NA,"se",NA,NA,NA,1992
"38F6",6.5,54.75,NA,NA,"se",NA,NA,NA,1992
"38F7",7.5,54.75,NA,NA,"se",NA,NA,NA,1992
"38F8",8.5,54.75,NA,NA,"se",NA,NA,NA,1992
"39E8",-1.5,55.25,NA,NA,"sw",NA,NA,NA,1992
"39E9",-0.5,55.25,NA,NA,"sw",NA,NA,NA,1992
"39F0",0.5,55.25,NA,NA,"sw",NA,NA,NA,1992
"39F1",1.5,55.25,NA,NA,"sw",NA,NA,NA,1992
"39F2",2.5,55.25,NA,NA,"se",NA,NA,NA,1992
"39F3",3.5,55.25,NA,NA,"se",NA,NA,NA,1992
"39F4",4.5,55.25,NA,NA,"se",NA,NA,NA,1992
"39F5",5.5,55.25,NA,NA,"se",NA,NA,NA,1992
"39F6",6.5,55.25,NA,NA,"se",NA,NA,NA,1992
"39F7",7.5,55.25,NA,NA,"se",NA,NA,NA,1992
"39F8",8.5,55.25,NA,NA,"se",NA,NA,NA,1992
"40E8",-1.5,55.75,NA,NA,"cw",NA,NA,NA,1992
"40E9",-0.5,55.75,NA,NA,"cw",NA,NA,NA,1992
"40F1",1.5,55.75,NA,NA,"cw",NA,NA,NA,1992
"40F2",2.5,55.75,NA,NA,"ce",NA,NA,NA,1992
"40F3",3.5,55.75,NA,NA,"ce",NA,NA,NA,1992
"40F4",4.5,55.75,NA,NA,"ce",NA,NA,NA,1992
"40F5",5.5,55.75,NA,NA,"ce",NA,NA,NA,1992
"40F6",6.5,55.75,NA,NA,"ce",NA,NA,NA,1992
"40F7",7.5,55.75,NA,NA,"ce",NA,NA,NA,1992
"41E7",-2.5,56.25,NA,NA,"cw",NA,NA,NA,1992
"41E8",-1.5,56.25,NA,NA,"cw",NA,NA,NA,1992
"41E9",-0.5,56.25,NA,NA,"cw",NA,NA,NA,1992
"41F0",0.5,56.25,NA,NA,"cw",NA,NA,NA,1992
"41F1",1.5,56.25,NA,NA,"cw",NA,NA,NA,1992
"41F2",2.5,56.25,NA,NA,"ce",NA,NA,NA,1992
"41F3",3.5,56.25,NA,NA,"ce",NA,NA,NA,1992
"41F4",4.5,56.25,NA,NA,"ce",NA,NA,NA,1992
"41F5",5.5,56.25,NA,NA,"ce",NA,NA,NA,1992
"41F6",6.5,56.25,NA,NA,"ce",NA,NA,NA,1992
"41F7",7.5,56.25,NA,NA,"ce",NA,NA,NA,1992
"41G1",11.5,56.25,NA,NA,"ka",NA,NA,NA,1992
"41G2",12.5,56.25,NA,NA,"ka",NA,NA,NA,1992
"42E7",-2.5,56.75,NA,NA,"cw",NA,NA,NA,1992
"42E8",-1.5,56.75,NA,NA,"cw",NA,NA,NA,1992
"42E9",-0.5,56.75,NA,NA,"cw",NA,NA,NA,1992
"42F0",0.5,56.75,NA,NA,"cw",NA,NA,NA,1992
"42F2",2.5,56.75,NA,NA,"ce",NA,NA,NA,1992
"42F3",3.5,56.75,NA,NA,"ce",NA,NA,NA,1992
"42F4",4.5,56.75,NA,NA,"ce",NA,NA,NA,1992
"42F5",5.5,56.75,NA,NA,"ce",NA,NA,NA,1992
"42F6",6.5,56.75,NA,NA,"ce",NA,NA,NA,1992
"42F7",7.5,56.75,NA,NA,"ce",NA,NA,NA,1992
"42G1",11.5,56.75,NA,NA,"ka",NA,NA,NA,1992
"42G2",12.5,56.75,NA,NA,"ka",NA,NA,NA,1992
"43E8",-1.5,57.25,NA,NA,"cw",NA,NA,NA,1992
"43E9",-0.5,57.25,NA,NA,"cw",NA,NA,NA,1992
"43F1",1.5,57.25,NA,NA,"cw",NA,NA,NA,1992
"43F2",2.5,57.25,NA,NA,"ce",NA,NA,NA,1992
"43F3",3.5,57.25,NA,NA,"ce",NA,NA,NA,1992
"43F4",4.5,57.25,NA,NA,"ce",NA,NA,NA,1992
"43F5",5.5,57.25,NA,NA,"ce",NA,NA,NA,1992
"43F6",6.5,57.25,NA,NA,"ce",NA,NA,NA,1992
"43F7",7.5,57.25,NA,NA,"ce",NA,NA,NA,1992
"43F8",8.5,57.25,NA,NA,"ce",NA,NA,NA,1992
"43G0",10.5,57.25,NA,NA,"ka",NA,NA,NA,1992
"43G1",11.5,57.25,NA,NA,"ka",NA,NA,NA,1992
"43G2",12.5,57.25,NA,NA,"ka",NA,NA,NA,1992
"44E7",-2.5,57.75,NA,NA,"cw",NA,NA,NA,1992
"44E8",-1.5,57.75,NA,NA,"cw",NA,NA,NA,1992
